Gemeindename,jahr,wert
Bettens,1990,0.5398197174072266
Bettingen,1990,0.4482596341301413
Bettlach,1990,0.39964615875089227
Bettmeralp,1990,0.078673555104006
Bettwiesen,1990,0.3664181616998488
Bettwil,1990,0.4012171064104353
Beurnevésin,1990,0.3877699010512408
Bever,1990,0.06379864959099033
Bex,1990,0.16356387580792928
Biasca,1990,0.11174583636043697
Biberist,1990,0.5644985883663862
Biberstein,1990,0.2969329587874874
Bichelsee-Balterswil,1990,0.2826353454589844
Biel-Benken,1990,0.5409632596102628
Biel/Bienne,1990,0.6366665162901948
Biezwil,1990,0.37114112056902987
Biglen,1990,0.4363362542514143
Billens-Hennens,1990,0.3649522341214694
Binn,1990,0.02972267332531157
Binningen,1990,0.6811363117114918
Bioggio,1990,0.5112414640538833
Bioley-Magnoux,1990,0.47567395196444745
Birmensdorf (ZH),1990,0.5391005649361559
Birmenstorf (AG),1990,0.5155889117528522
Birr,1990,0.5423229261376392
Birrhard,1990,0.5918468553192762
Birrwil,1990,0.46499259383590136
Birsfelden,1990,0.8627633181485262
Birwinken,1990,0.37546619817839194
Bischofszell,1990,0.4337772570158306
Bissone,1990,0.3824367841084798
Bister,1990,0.12291625238233997
Bitsch,1990,0.22720343066800025
Bière,1990,0.27471848846360564
Blatten,1990,0.03426093505356683
Blauen,1990,0.23395459693774842
Bleienbach,1990,0.40642460532810376
Blenio,1990,0.05290953347685159
Blonay,1990,0.2654439192551833
Blumenstein,1990,0.14561893628991168
Bodio,1990,0.29224602835518976
Bofflens,1990,0.4887709898107192
Bogis-Bossey,1990,0.5698985075339292
Bois-d'Amont,1990,0.3727900059378926
Bolken,1990,0.5272951398577009
Bolligen,1990,0.37118438720703123
Boltigen,1990,0.11034738100492038
Bonaduz,1990,0.21060604519314235
Boncourt,1990,0.412642178119429
Bonfol,1990,0.3489215902613299
Boningen,1990,0.5799634116036552
Boniswil,1990,0.5110342843191964
Bonstetten,1990,0.4983623692246734
Bonvillars,1990,0.34066838123759285
Boppelsen,1990,0.38707835638701027
Borex,1990,0.6158934911092122
Bosco/Gurin,1990,0.05810808469463327
Bossonnens,1990,0.3633068357195173
Boswil,1990,0.4577634359143444
Bottens,1990,0.4458942244538164
Bottenwil,1990,0.31450023421322004
Botterens,1990,0.1982636018232866
Bottighofen,1990,0.5270863557473208
Bottmingen,1990,0.6384874303290184
Boudry,1990,0.3357612014259991
Bougy-Villars,1990,0.3651402996432397
Boulens,1990,0.39583234433774594
Bourg-Saint-Pierre,1990,0.05951269797179704
Bourg-en-Lavaux,1990,0.5634607622700353
Bournens,1990,0.5288387005145733
Bourrignon,1990,0.24663650719828195
Boussens,1990,0.558862491529815
Bovernier,1990,0.21535184248438421
Bowil,1990,0.2163346103045731
Boécourt,1990,0.31453548431396483
Braunau,1990,0.3101308152482316
Bregaglia,1990,0.042741935091664594
Breggia,1990,0.20022558817049352
Breil/Brigels,1990,0.08712892380004493
Breitenbach,1990,0.3939533064850664
Bremblens,1990,0.5805163816972212
Bremgarten (AG),1990,0.4862686827942565
Bremgarten bei Bern,1990,0.6296375643822455
Brenzikofen,1990,0.2934267255995009
Bretigny-sur-Morrens,1990,0.4779243015107654
Bretonnières,1990,0.3786460876464844
Bretzwil,1990,0.2119183774854316
Brienz (BE),1990,0.1235830348953701
Brienzwiler,1990,0.10169393605199353
Brig-Glis,1990,0.19798242418389572
Brione sopra Minusio,1990,0.27480767567952474
Brislach,1990,0.42026182893034697
Brissago,1990,0.15778298992728523
Brittnau,1990,0.4075531895385195
Broc,1990,0.23168764114379883
Brot-Plamboz,1990,0.21919886271158853
Brugg,1990,0.6829149086056775
Brunegg,1990,0.6064817905426025
Brusino Arsizio,1990,0.18874641944622172
Brusio,1990,0.10265201048651526
Brügg,1990,0.6445822539152922
Brünisried,1990,0.2933740969057436
Brüttelen,1990,0.39648610241008253
Brütten,1990,0.499267578125
Bubendorf,1990,0.34417935818602136
Bubikon,1990,0.5100547472635905
Buch (SH),1990,0.47605468380835747
Buch am Irchel,1990,0.4008967847709196
Buchberg,1990,0.34623455744917675
Buchegg,1990,0.4196864060365437
Buchholterberg,1990,0.17995266007025715
Buchillon,1990,0.38334936565823025
Buchrain,1990,0.6291443674187911
Buchs (AG),1990,0.6389087215884701
Buchs (SG),1990,0.4432102278167126
Buchs (ZH),1990,0.5529404473058956
Buckten,1990,0.44499218102657434
Bulle,1990,0.3687370972312176
Bullet,1990,0.18190548193715786
Buochs,1990,0.3369483947753906
Bure,1990,0.4271828591286599
Burg (AG),1990,0.5003054141998291
Burg im Leimental,1990,0.1877166748046875
Burgdorf,1990,0.5212140175366494
Burgistein,1990,0.2895820554622934
Bursinel,1990,0.6186005164837015
Bursins,1990,0.466331992830549
Burtigny,1990,0.3759726611050693
Buseno,1990,0.09406416908988739
Bussigny,1990,0.7180023193359375
Bussnang,1990,0.3968629990359978
Busswil bei Melchnau,1990,0.27797709120080827
Bussy-sur-Moudon,1990,0.46802005767822263
Buttisholz,1990,0.3129125545459166
Buttwil,1990,0.35805384318033856
Buus,1990,0.3133481073041334
Bäretswil,1990,0.30904615022830806
Bäriswil,1990,0.39859266059343207
Bärschwil,1990,0.21868379065330992
Bätterkinden,1990,0.5316196666044347
Bättwil,1990,0.5584879274721499
Böbikon,1990,0.31747904277983163
Böckten,1990,0.4164107554667705
Bönigen,1990,0.15484036647432572
Bösingen,1990,0.491762719300116
Böttstein,1990,0.5003233129327948
Bözberg,1990,0.3852177417184424
Bözen,1990,0.46778112469297467
Büetigen,1990,0.5197587177671236
Bühl,1990,0.4996739901029147
Bühler,1990,0.2913307493383234
Bülach,1990,0.5409308603961205
Bünzen,1990,0.471516352827831
Bürchen,1990,0.17011253889216932
Büren (SO),1990,0.2640620316609298
Büren an der Aare,1990,0.44312333569084245
Bürglen (TG),1990,0.5103645522359739
Bürglen (UR),1990,0.10045873338931074
Büron,1990,0.47959535772150214
Büsserach,1990,0.3257254962773286
Bütschwil-Ganterschwil,1990,0.35090294835309904
Büttenhardt,1990,0.3586646248312557
Büttikon,1990,0.4937683953179253
Cademario,1990,0.3058838617234003
Cadempino,1990,0.7467287503756009
Cadenazzo,1990,0.41311840544965933
Calanca,1990,0.07598705732389645
Cama,1990,0.06976082984437333
Campo (Vallemaggia),1990,0.01951250584005452
Canobbio,1990,0.6649145852951777
Capriasca,1990,0.21997626840251766
Carouge (GE),1990,0.8734483264741444
Cartigny,1990,0.5217104629731514
Caslano,1990,0.48432211442427203
Castaneda,1990,0.20510171743539662
Castel San Pietro,1990,0.3246241743846606
Cazis,1990,0.1842462983330486
Celerina/Schlarigna,1990,0.203287144502004
Centovalli,1990,0.09555051926283809
Cerentino,1990,0.06624017568734976
Cevio,1990,0.041019215674514706
Chalais,1990,0.23174272333910018
Cham,1990,0.5605112537995947
Chamblon,1990,0.44264971956293636
Chamoson,1990,0.21880238949101863
Champagne,1990,0.4020287096500397
Champoz,1990,0.17241427103678386
Champtauroz,1990,0.4544002766511878
Champvent,1990,0.46887026892768013
Champéry,1990,0.1009677923642672
Chancy,1990,0.49865731848291606
Chapelle (Glâne),1990,0.3596208326278194
Chardonne,1990,0.35031077676190586
Chavannes-de-Bogis,1990,0.647865719265408
Chavannes-des-Bois,1990,0.524125893910726
Chavannes-le-Chêne,1990,0.5069972529555812
Chavannes-le-Veyron,1990,0.44408356059681287
Chavannes-près-Renens,1990,0.7915269470214844
Chavannes-sur-Moudon,1990,0.4328591346740723
Chavornay,1990,0.5334037534652217
Cheseaux-Noréaz,1990,0.4550463489650451
Cheseaux-sur-Lausanne,1990,0.6029151498454891
Chessel,1990,0.49861684835182046
Chevilly,1990,0.518675035045993
Chevroux,1990,0.4369852631180375
Chexbres,1990,0.6016236507531368
Cheyres-Châbles,1990,0.46023758809277965
Chiasso,1990,0.5867122384004815
Chigny,1990,0.5983803612845284
Chippis,1990,0.45284741924655053
Choulex,1990,0.6240558008993825
Chur,1990,0.3297258528871107
Churwalden,1990,0.14875694700909145
Château-d'Oex,1990,0.10726810050036795
Châtel-Saint-Denis,1990,0.1995541666455837
Châtel-sur-Montsalvens,1990,0.22321782573576895
Châtillon (FR),1990,0.4377008784901012
Châtillon (JU),1990,0.2825808842976888
Châtonnaye,1990,0.3790666599466343
Chénens,1990,0.4127813369508774
Chéserex,1990,0.3013513328055658
Chêne-Bougeries,1990,0.704073530254942
Chêne-Bourg,1990,0.8252778583102756
Chêne-Pâquier,1990,0.49617307326372934
Clarmont,1990,0.5222231921027688
Clavaleyres,1990,0.33426882238949046
Clos du Doubs,1990,0.1815854027157738
Coeuve,1990,0.3701216939817438
Coinsins,1990,0.5510283345761506
Coldrerio,1990,0.7462894733135517
Collex-Bossy,1990,0.5488954148851
Collina d'Oro,1990,0.49455144454021843
Collombey-Muraz,1990,0.36161688796612396
Collonge-Bellerive,1990,0.6971293438921918
Collonges,1990,0.15292156848710836
Cologny,1990,0.7226640639766571
Comano,1990,0.47106349083685106
Commugny,1990,0.5917619669212485
Concise,1990,0.29378404143106873
Confignon,1990,0.7276789643043695
Conters im Prättigau,1990,0.09964236128689055
Conthey,1990,0.1440852135091385
Coppet,1990,0.7339429219563802
Corbeyrier,1990,0.12579680572856555
Corbières,1990,0.17045498551993535
Corcelles (BE),1990,0.18475260053362166
Corcelles-le-Jorat,1990,0.29021254039946054
Corcelles-près-Concise,1990,0.37623892890082467
Corcelles-près-Payerne,1990,0.579555978580397
Corgémont,1990,0.22292880354256467
Corminboeuf,1990,0.4641495079829775
Cormoret,1990,0.1973779008195207
Cornaux,1990,0.6313140482842168
Cornol,1990,0.40464054853066633
Corseaux,1990,0.8539856672286987
Corsier (GE),1990,0.699391342872797
Corsier-sur-Vevey,1990,0.4289041571660873
Cortaillod,1990,0.5758107503255209
Cortébert,1990,0.2008494445543249
Cossonay,1990,0.5306072093822338
Cottens (FR),1990,0.4185184385718369
Courchapoix,1990,0.2781415535853459
Courchavon,1990,0.3038150674045676
Courgenay,1990,0.35885304330990014
Courgevaux,1990,0.4799988486550071
Courrendlin,1990,0.34889634627869676
Courroux,1990,0.3347525119781494
Court,1990,0.21368047404171797
Courtedoux,1990,0.4437212343569155
Courtelary,1990,0.1931414251458155
Courtepin,1990,0.42817347348647744
Courtételle,1990,0.36153631811743386
Crans (VD),1990,0.6297891280230354
Crans-Montana,1990,0.24059869053468325
Crassier,1990,0.6046498803531423
Cressier (FR),1990,0.477344483595628
Cressier (NE),1990,0.4186470474022022
Crissier,1990,0.7099510444389595
Cronay,1990,0.43951052371586596
Croy,1990,0.4252704075404576
Crémines,1990,0.22220425856740852
Crésuz,1990,0.22380519735402074
Cuarnens,1990,0.43599479218833465
Cuarny,1990,0.5150920249320365
Cudrefin,1990,0.4382299901954681
Cugnasco-Gerra,1990,0.18030120586526804
Cugy (FR),1990,0.492772810298241
Cugy (VD),1990,0.45210688164893614
Cureglia,1990,0.6710349718729655
Curio,1990,0.2977226506108823
Curtilles,1990,0.49555091857910155
Céligny,1990,0.5902214050292969
Dachsen,1990,0.6400524563259549
Dagmersellen,1990,0.3777450837522206
Daillens,1990,0.5597508034009612
Dallenwil,1990,0.14297715729358149
Dalpe,1990,0.07556012581134665
Damphreux,1990,0.3470804173013438
Dardagny,1990,0.4731726139149767
Davos,1990,0.09440580285113791
Degersheim,1990,0.31457478032451297
Deisswil bei Münchenbuchsee,1990,0.5278682147755343
Deitingen,1990,0.5505575164546811
Delley-Portalban,1990,0.4911367811005691
Delémont,1990,0.4131355816939415
Denens,1990,0.5298806704007663
Denges,1990,0.7946017035122576
Densbüren,1990,0.2343118557563195
Derendingen,1990,0.6386127681522579
Develier,1990,0.36805245004049164
Diegten,1990,0.3598982895476909
Dielsdorf,1990,0.5379361604389391
Diemerswil,1990,0.45391569332200654
Diemtigen,1990,0.06808361077115373
Diepflingen,1990,0.42843553294306214
Diepoldsau,1990,0.5281505370407962
Dierikon,1990,0.45801031589508057
Diessbach bei Büren,1990,0.4445178692157452
Diessenhofen,1990,0.5173912513546828
Dietikon,1990,0.6828125388758957
Dietlikon,1990,0.67510011461046
Dietwil,1990,0.40994730862704193
Dinhard,1990,0.529064113810911
Dintikon,1990,0.4167910716572746
Disentis/Mustér,1990,0.07524373918710964
Dittingen,1990,0.27394002728757605
Dizy,1990,0.4662361534274354
Domat/Ems,1990,0.23555482709999184
Domleschg,1990,0.14712581685656836
Dompierre (VD),1990,0.5009607053270527
Donneloye,1990,0.49116431342230904
Doppleschwand,1990,0.23425176408555773
Dorf,1990,0.3474075973674815
Dornach,1990,0.45299577713012695
Dorénaz,1990,0.19127596641073422
Dottikon,1990,0.602599371047247
Dotzigen,1990,0.5556031412153102
Dozwil,1990,0.4709172248840332
Drei Höfe,1990,0.4860289290144637
Duggingen,1990,0.3740044870684224
Duillier,1990,0.6543854475021362
Dulliken,1990,0.5168072509765625
Dully,1990,0.5905845076949509
Dägerlen,1990,0.5290747880935669
Dällikon,1990,0.5399873633133737
Däniken,1990,0.554565386825733
Dänikon,1990,0.48823646545410154
Därligen,1990,0.13128487723214285
Därstetten,1990,0.09913273937297318
Dättlikon,1990,0.29929820858702366
Démoret,1990,0.5165216197138247
Dörflingen,1990,0.4867636497984541
Döttingen,1990,0.5146142152639536
Dübendorf,1990,0.6382604400496678
Düdingen,1990,0.5411855864372335
Dürnten,1990,0.536459277489942
Dürrenroth,1990,0.3213948262095963
Dürrenäsch,1990,0.36891765983737246
Ebikon,1990,0.6098249335038034
Ebnat-Kappel,1990,0.17807769775390625
Echallens,1990,0.5494472824524497
Echandens,1990,0.661376710921999
Echarlens,1990,0.35105942391060496
Echichens,1990,0.5467894667879157
Eclépens,1990,0.5586517087874874
Ecublens (FR),1990,0.360557974838629
Ecublens (VD),1990,0.7964525120232695
Ederswiler,1990,0.23839818514310396
Effingen,1990,0.3171433980486034
Egerkingen,1990,0.49065923276154894
Egg,1990,0.46363560157486156
Eggenwil,1990,0.5091210389748598
Eggerberg,1990,0.2686473885361029
Eggersriet,1990,0.30478579981797405
Eggiwil,1990,0.12556473851568473
Eglisau,1990,0.4526968693387681
Egliswil,1990,0.39178585311741504
Egnach,1990,0.4454839700041806
Egolzwil,1990,0.44203737046983504
Ehrendingen,1990,0.4431596036817207
Eich,1990,0.39526667493454953
Eichberg,1990,0.28351495530870224
Eiken,1990,0.5815203414004073
Einsiedeln,1990,0.2037860751892469
Eischoll,1990,0.13264882091908728
Eisten,1990,0.06445471186427852
Elfingen,1990,0.29425424769304803
Elgg,1990,0.3883692297605005
Ellikon an der Thur,1990,0.5452828583893953
Elsau,1990,0.5439807980559593
Embd,1990,0.09063616828739363
Embrach,1990,0.4659046759972206
Emmen,1990,0.6187440797731325
Emmetten,1990,0.142893260851168
Endingen,1990,0.3934093336984901
Engelberg,1990,0.09753387827932099
Enges,1990,0.2035398058071258
Ennetbaden,1990,0.5254487173897879
Ennetbürgen,1990,0.292205058353048
Ennetmoos,1990,0.18772237538259268
Entlebuch,1990,0.16770006829163053
Epalinges,1990,0.5694183143409522
Ependes (VD),1990,0.6216818980681591
Eppenberg-Wöschnau,1990,0.5702579617500305
Epsach,1990,0.5095803347500888
Eptingen,1990,0.2584738392647498
Ergisch,1990,0.06908248547260268
Eriswil,1990,0.2746717710752745
Eriz,1990,0.0925032835312557
Erlach,1990,0.4671438980102539
Erlen,1990,0.45673770715694617
Erlenbach (ZH),1990,0.5901919555664062
Erlenbach im Simmental,1990,0.14371184282079588
Erlinsbach (AG),1990,0.30258458926353926
Erlinsbach (SO),1990,0.37119702844811764
Ermatingen,1990,0.4177352808698823
Ermensee,1990,0.3634947141011556
Ernen,1990,0.09606098411357508
Erschwil,1990,0.20607278366719395
Ersigen,1990,0.4276908547961758
Erstfeld,1990,0.11361417411261522
Eschenbach (LU),1990,0.4325041076946706
Eschenbach (SG),1990,0.2609711539190254
Eschenz,1990,0.3683481216430664
Eschert,1990,0.21633746172930743
Eschlikon,1990,0.40879924774169923
Escholzmatt-Marbach,1990,0.13513617172021344
Essertes,1990,0.44405965451841
Essertines-sur-Rolle,1990,0.4004551372696868
Essertines-sur-Yverdon,1990,0.4792903684220224
Estavayer,1990,0.5025961232739825
Etagnières,1990,0.5232721964518229
Etoy,1990,0.594144058227539
Ettingen,1990,0.3666630336216518
Ettiswil,1990,0.4463995947626424
Etziken,1990,0.5151263497092508
Evilard,1990,0.38559223810831705
Evionnaz,1990,0.09716841161722872
Evolène,1990,0.04516884687221231
Eysins,1990,0.6927970164530987
Fahrni,1990,0.2514807736432111
Fahrwangen,1990,0.48529394349055505
Fahy,1990,0.4098694084226623
Faido,1990,0.13969082934547558
Falera,1990,0.11422673486936785
Faoug,1990,0.6049636706971285
Farnern,1990,0.1899054742628528
Fehraltorf,1990,0.5264793844784007
Fehren,1990,0.37392187118530273
Felben-Wellhausen,1990,0.5376320831046617
Feldbrunnen-St. Niklaus,1990,0.5115007400512696
Felsberg,1990,0.21862660513983834
Ferden,1990,0.11240814544342376
Ferenbalm,1990,0.5738535185117979
Ferpicloz,1990,0.41581525802612307
Ferrera,1990,0.026673039779287255
Ferreyres,1990,0.3533913481469248
Feuerthalen,1990,0.6227173223728086
Feusisberg,1990,0.3465559278215681
Fey,1990,0.4681858773958885
Fideris,1990,0.08105202651605374
Fiesch,1990,0.1641996665434404
Fieschertal,1990,0.016022176739126925
Fiez,1990,0.2611561337032834
Finhaut,1990,0.10305361314253374
Finsterhennen,1990,0.4745932283072636
Fischbach,1990,0.31884579258110685
Fischbach-Göslikon,1990,0.5048774221669072
Fischenthal,1990,0.1831092757718184
Fischingen,1990,0.22434961083400773
Fisibach,1990,0.3832959410964802
Fislisbach,1990,0.6130533106186811
Flaach,1990,0.430772538618608
Flawil,1990,0.4395485944288937
Flerden,1990,0.10687699317932128
Flims,1990,0.13589903169077605
Flumenthal,1990,0.5524079565908394
Flums,1990,0.1289956602758291
Flurlingen,1990,0.4763631820678711
Fläsch,1990,0.18825576878801176
Flüelen,1990,0.2368172290278416
Flühli,1990,0.09482262864183376
Fontaines-sur-Grandson,1990,0.26755283724877144
Fontenais,1990,0.3117623386612858
Forel (Lavaux),1990,0.3713275054625444
Forst-Längenbühl,1990,0.2374574815904772
Founex,1990,0.6292755420391376
Fraubrunnen,1990,0.46698492765426636
Frauenfeld,1990,0.5475063323974609
Frauenkappelen,1990,0.4582747020860658
Freienbach,1990,0.5288943143991324
Freienstein-Teufen,1990,0.29213664110969095
Freienwil,1990,0.4452278500511533
Freimettigen,1990,0.2625930362277561
Frenkendorf,1990,0.45325409738641037
Fribourg,1990,0.7143696664974389
Frick,1990,0.48705206450468264
Froideville,1990,0.3347148036097621
Frutigen,1990,0.13160783749783173
Fräschels,1990,0.5067136104290302
Fulenbach,1990,0.4849809698156408
Full-Reuenthal,1990,0.616392163262851
Fully,1990,0.2514179229736328
Furna,1990,0.0572850126876408
Fällanden,1990,0.5314086631492332
Féchy,1990,0.5434719795404479
Fétigny,1990,0.5293538642652107
Füllinsdorf,1990,0.5431277300860431
Fürstenau,1990,0.33746076765514554
Gachnang,1990,0.6026902375397859
Gais,1990,0.1994976736283096
Gaiserwald,1990,0.38438561544463967
Galgenen,1990,0.264185040085404
Galmiz,1990,0.508794320596231
Gals,1990,0.44162786865234377
Gambarogno,1990,0.20925742018411111
Gampel-Bratsch,1990,0.17513144178676346
Gampelen,1990,0.49700548521865756
Gams,1990,0.2301417398189313
Gansingen,1990,0.30822730228818696
Gebenstorf,1990,0.4938767327202691
Gelterkinden,1990,0.3712645790793679
Geltwil,1990,0.3903012362393466
Gempen,1990,0.296348434133628
Gempenach,1990,0.5464549594455295
Genolier,1990,0.4625389575958252
Genthod,1990,0.7220273017883301
Genève,1990,0.8567352294921875
Gerlafingen,1990,0.7552417632072203
Geroldswil,1990,0.6463441559762666
Gersau,1990,0.18271840083134638
Gerzensee,1990,0.34391989135742185
Geuensee,1990,0.4205780749051076
Gibloux,1990,0.330586491798868
Giebenach,1990,0.652859167619185
Giez,1990,0.4553582763671875
Giffers,1990,0.3248025365622647
Gilly,1990,0.38622167033533894
Gimel,1990,0.2543649361803641
Gingins,1990,0.22560056360756478
Giornico,1990,0.1967349474943137
Gipf-Oberfrick,1990,0.3177274680999388
Gisikon,1990,0.4515875577926636
Giswil,1990,0.11896868024553571
Givisiez,1990,0.6714050151683666
Givrins,1990,0.406056388976082
Gland,1990,0.5992308223948759
Glarus,1990,0.13912522336269947
Glarus Nord,1990,0.18269806939202385
Glarus Süd,1990,0.08020016031025985
Glattfelden,1990,0.4941342481926306
Gletterens,1990,0.48625659942626953
Goldach,1990,0.6811885833740234
Gollion,1990,0.534252999842852
Gommiswald,1990,0.23312169728261647
Goms,1990,0.06556592564207579
Gondiswil,1990,0.3289920261928013
Gonten,1990,0.17288701674517462
Gontenschwil,1990,0.398763717359798
Gordola,1990,0.392512286150897
Gossau (SG),1990,0.46913498838302037
Gossau (ZH),1990,0.5258272926279363
Gottlieben,1990,0.3336253762245178
Goumoëns,1990,0.5036361426637884
Graben,1990,0.37589435188137754
Grabs,1990,0.15923595642775631
Grancia,1990,0.7508251667022705
Grancy,1990,0.4479093446836367
Grandcour,1990,0.512903911311452
Grandevent,1990,0.2098778315952846
Grandfontaine,1990,0.3815400332015082
Grandson,1990,0.6628177165985107
Grandval,1990,0.19558392709760525
Grandvillard,1990,0.10504649310318265
Granges (Veveyse),1990,0.3379456383841378
