Gemeindename,Einwohner  (2019),Veränderung in %  (2010-2019),Bevölkerungs-dichte pro km²  (2019),Ausländer in %  (2019),0-19 Jahre  (2019),20-64 Jahre  (2019),65 Jahre und mehr  (2019),Rohe Heiratssziffer  (2019),Rohe Scheidungsziffer  (2019),Rohe Geburtenziffer  (2019),Rohe Sterbeziffer  (2019),Anzahl Privathaushalte  (2019),Durchschnittliche Haushaltsgrösse in Personen  (2019),Leerwohnungs-ziffer  (2020),Neu gebaute Wohnungen pro 1000 Einwohner  (2018),FDP  (2019),CVP  (2019),SP  (2019),SVP  (2019),EVP/CSP  (2019),GLP  (2019),BDP  (2019),PdA/Sol.  (2019),GPS  (2019),Kleine Rechtsparteien  (2019),Berggebiet,GHM_Mean_2020
Locarno,15776.0,4.1113970831,844.0877474585,34.2482251521,16.6835699797,58.1706389452,25.1457910751,3.2909309537,2.4049110816,8.0374659832,11.7081197393,7896.0,1.9625126646,3.5944537667,2.6854858856,19.255081202,15.9000291744,14.7265713637,9.7896204091,0.0,1.0275859833,0.0,1.3711951765,17.7866381406,15.6309766929,1,0.5647612312771627
Lohn (SH),743.0,9.9112426036,152.5667351129,9.4212651413,24.0915208614,58.2772543742,17.6312247645,3.9973351099,2.6648900733,6.6622251832,6.6622251832,305.0,2.4229508197,2.6470588235,2.5940337224,16.9705469846,0.7012622721,15.2875175316,47.4053295933,1.1220196353,3.9270687237,0.0,0.0,7.0126227209,6.03085554,0,0.4973344917756965
Lohn-Ammannsegg,2844.0,9.2585478294,634.8214285714,8.3684950774,17.7918424754,59.8452883263,22.3628691983,6.7161541181,1.4139271828,7.7765995051,6.0091905267,1244.0,2.2540192926,1.4914243102,4.991087344,25.4216684394,8.5245403434,18.3102871904,22.3218355873,0.8053487312,11.3052727549,3.0238565568,0.0,8.8588360432,0.5318340678,0,0.6171521882753115
Lommis,1211.0,10.0909090909,140.6504065041,12.4690338563,21.7175887696,63.7489677952,14.5334434352,3.2976092333,2.473206925,6.5952184666,7.4196207749,475.0,2.5115789474,1.8518518519,0.8169934641,9.341117598,10.3836530442,8.0900750626,48.5821517932,2.4186822352,6.5054211843,4.670558799,0.0,7.7981651376,2.210175146,0,0.4675970894949777
Lommiswil,1540.0,7.6170510133,267.3611111111,7.5974025974,21.038961039,57.4675324675,21.4935064935,3.9011703511,0.0,6.5019505852,7.8023407022,649.0,2.3651771957,3.4482758621,8.5078534031,18.9645625692,14.8394241417,14.4795127353,29.1528239203,0.3599114064,7.4473975637,2.380952381,0.0,11.2956810631,0.5260243632,0,0.4677407637886379
Lonay,2669.0,8.4518488419,717.4731182796,21.768452604,21.4687148745,58.1116523042,20.4196328213,5.3221820947,1.9007793195,7.983273142,6.4626496864,1114.0,2.3913824057,0.3236245955,15.2549177037,27.6713311805,2.6767133118,17.380696089,17.0577682095,1.3347685684,9.2787944026,0.2296376032,2.2317904557,19.2608539648,0.3229278794,0,0.7546518044393571
Longirod,481.0,14.2517814727,50.8994708995,15.3846153846,21.8295218295,59.6673596674,18.5031185031,2.0855057351,4.1710114703,10.4275286757,16.6840458811,205.0,2.3463414634,4.958677686,4.2643923241,24.047954866,1.1636107193,11.2129760226,20.9449929478,1.9746121298,12.976022567,0.8110014104,1.4456981664,21.3681241185,0.1763046544,1,0.2581179957236013
Losone,6695.0,4.6584336408,723.0021598272,22.6288274832,18.2524271845,58.4167289022,23.3308439134,3.881755748,1.791579576,4.926843834,8.21140639,3114.0,2.1181759794,1.6417544719,15.4032014497,17.0710397204,15.2026345857,12.3328180657,16.9903891391,0.0,0.853551986,0.0,0.9610860945,15.5991666107,17.0912023658,1,0.4947984251257491
Lostallo,805.0,13.8613861386,15.8277624853,15.7763975155,17.1428571429,60.1242236025,22.7329192547,0.0,0.0,6.2617407639,12.5234815279,360.0,2.2305555556,1.3043478261,3.9473684211,41.0526315789,8.2296650718,15.5980861244,24.6889952153,0.0,2.5837320574,3.5406698565,0.0,4.3062200957,0.0,1,0.065478614128754
Lostorf,3942.0,3.0857740586,297.5094339623,11.5423642821,19.8630136986,59.0563165906,21.0806697108,2.7869267798,0.76007094,7.6007093995,7.6007093995,1656.0,2.3520531401,2.3081052067,1.2629451882,20.483831753,12.7036226599,18.149769025,30.39144177,1.288597131,6.0053488938,1.6776075857,0.0,8.2907853149,0.4011670314,1,0.4282793468899197
Lotzwil,2628.0,6.0960839725,422.5080385852,16.7808219178,21.0806697108,60.1598173516,18.7595129376,3.8513383401,1.155401502,6.1621413441,11.9391488542,1143.0,2.2650918635,4.8799380325,5.4794520548,8.8254380273,0.9247242051,16.4828033744,33.3117023578,8.6577979667,8.9768548562,7.2896387627,0.5407743889,8.933592905,2.4497079818,0,0.5500247690937307
Lovatens,136.0,-3.5460992908,39.1930835735,5.8823529412,17.6470588235,61.0294117647,21.3235294118,0.0,0.0,0.0,14.1843971631,60.0,2.2666666667,0.0,0.0,19.0265486726,0.4424778761,13.0530973451,28.982300885,0.6637168142,5.1991150442,3.2079646018,2.1017699115,22.4557522124,0.0,0,0.5701560974121094
Loveresse,344.0,8.8607594937,73.3475479744,7.8488372093,23.8372093023,54.9418604651,21.2209302326,5.7803468208,2.8901734104,17.3410404624,8.6705202312,149.0,2.2953020134,0.0,18.4615384615,3.7238873751,3.2697547684,20.4359673025,37.9654859219,3.4514078111,3.4968210718,0.4995458674,0.0,13.7602179837,7.8110808356,1,0.3916291186684056
Lucens,4199.0,26.8580060423,217.9034769071,36.5086925458,24.0057156466,60.4667778042,15.5275065492,2.8561228133,1.4280614066,12.1385219564,7.6163275021,1785.0,2.331092437,4.2767900048,17.1788047423,21.2777261256,1.4875813521,19.8631956435,26.7831053261,1.0891220614,5.9768893611,0.4383052198,3.5927746049,16.2637800505,0.7172267233,0,0.5264026288407299
Lufingen,2417.0,37.1736662883,466.6023166023,19.1146048821,23.2519652462,64.5428216798,12.2052130741,4.5662100457,3.3208800332,10.7928601079,4.5662100457,957.0,2.5182863114,1.3013013013,2.0999580008,11.2452797049,3.4293492579,8.3077193291,44.7264424344,3.539123562,13.6647053658,2.6082374638,0.0043909722,7.4602617019,3.376657592,0,0.5767002335513931
Lugano,62615.0,3.9460141439,824.6411168181,38.4380739439,17.3345045117,60.3082328516,22.3572626367,3.2273449921,1.653418124,7.4244833068,9.4117647059,30595.0,2.0122569047,3.151338392,3.7641351939,20.3399239171,13.9847181178,13.9169619096,13.1479697628,0.0,1.0122614247,0.0,0.9036882235,11.1389573707,21.59382194,1,0.3761389640826881
Lugnez,182.0,-10.7843137255,35.6862745098,4.3956043956,19.2307692308,57.1428571429,23.6263736264,10.8695652174,0.0,10.8695652174,21.7391304348,81.0,2.2222222222,1.0638297872,0.0,15.3225806452,33.8709677419,16.1290322581,14.5161290323,8.064516129,0.0,0.0,0.0,12.0967741935,0.0,0,0.4288558959960937
Luins,622.0,20.0772200772,232.9588014981,29.9035369775,21.5434083601,65.7556270096,12.7009646302,1.6220600162,1.6220600162,11.3544201135,4.8661800487,264.0,2.3484848485,0.9771986971,0.0,22.7075954349,3.9748130657,10.31090122,34.8681621409,3.4632034632,7.7528532074,1.7316017316,1.8890200708,11.5702479339,0.0393545848,0,0.6450953960418702
Lully (FR),1178.0,23.4800838574,214.1818181818,18.9303904924,27.4193548387,60.441426146,12.1392190153,3.4497628288,2.5873221216,9.4868477792,2.5873221216,441.0,2.6575963719,2.3504273504,6.8906115418,16.1179361179,11.6461916462,22.6535626536,28.6977886978,4.57002457,3.9312039312,1.0319410319,0.0,6.3882063882,1.9656019656,0,0.6237287309434679
Lully (VD),818.0,3.0226700252,399.0243902439,15.5256723716,24.9388753056,59.6577017115,15.4034229829,1.246882793,0.0,8.7281795511,1.246882793,303.0,2.6930693069,1.7191977077,2.5188916877,29.313304721,3.2618025751,16.8025751073,10.1716738197,1.4592274678,13.3905579399,0.1072961373,2.7896995708,19.635193133,0.0,0,0.6595189836290147
Lumino,1571.0,19.6496572734,155.6987115956,18.3959261617,20.6238064927,60.3437301082,19.0324633991,5.1880674449,1.2970168612,11.673151751,4.5395590143,692.0,2.2442196532,1.7301038062,14.9659863946,23.9620653319,21.1169652266,18.1875658588,12.8556375132,0.0,0.7376185458,0.0,0.6111696523,10.6427818757,9.7154899895,1,0.2431993122342266
Lumnezia,2019.0,-8.8898916968,12.2008701958,6.3893016345,13.9177810797,56.7607726597,29.3214462605,3.4610630408,1.4833127318,8.4054388133,10.3831891224,922.0,2.1496746204,0.8536585366,4.8851978505,2.0996711358,56.0839868454,5.9954464963,22.4892486719,0.0,3.3645332659,5.4895016443,0.0,4.4776119403,0.0,1,0.0622060987367797
Lungern,2111.0,1.4903846154,45.4271573058,10.7531975367,19.9431549029,57.6504026528,22.4064424443,4.2543134011,2.363507445,6.6178208461,9.4540297802,926.0,2.247300216,2.2945965951,3.7700282752,5.9023836549,36.7763904654,2.6106696935,30.7604994325,0.0,0.0,0.0,0.0,0.0,0.0,1,0.1552348467121494
Lupfig,3141.0,10.9501942776,371.7159763314,18.7519898122,18.6246418338,61.6682585164,19.7070996498,4.4771346338,3.8375439719,8.6344739367,10.2334505916,1402.0,2.2282453638,2.4374176548,12.8627968338,11.4745719397,7.8584206491,13.7426526961,36.4490161002,5.8650651674,6.9000766675,3.9675440838,0.0,8.7975977511,1.4630718119,0,0.6519869797521358
Lupsingen,1450.0,6.7746686303,466.2379421222,11.0344827586,22.2068965517,54.1379310345,23.6551724138,2.772002772,0.0,10.395010395,6.237006237,596.0,2.4194630872,0.1547987616,2.1097046414,14.6860986547,6.1939461883,19.4226457399,23.2903587444,3.7275784753,8.4641255605,1.149103139,0.0,23.0381165919,0.0,0,0.432424439324273
Lussery-Villars,459.0,31.1428571429,122.7272727273,17.8649237473,19.6078431373,68.1917211329,12.2004357298,8.6862106406,2.1715526602,8.6862106406,2.1715526602,207.0,2.2125603865,2.7027027027,0.0,12.3542116631,2.505399568,18.9200863931,27.4298056156,0.5183585313,6.7386609071,1.8574514039,4.3628509719,21.8574514039,0.0863930886,0,0.6255888391713627
Lussy-sur-Morges,694.0,18.6324786325,296.5811965812,17.5792507205,25.6484149856,53.1700288184,21.181556196,0.0,2.8985507246,7.2463768116,20.2898550725,260.0,2.6076923077,1.3698630137,8.9820359281,29.8645937813,2.9338014042,17.3771313942,13.6910732197,0.777331996,10.2808425276,0.1003009027,4.3881644935,17.9037111334,0.2006018054,0,0.6103404697618986
Luterbach,3488.0,5.9216519891,771.6814159292,19.3233944954,18.4919724771,59.4036697248,22.1043577982,4.5924225029,1.1481056257,7.1756601607,8.6107921929,1597.0,2.1596743895,2.734375,4.5911047346,12.9589988474,21.0933640705,20.2700477523,27.3341017619,1.1855754981,4.7752346452,1.3667050881,0.0,9.7974641857,0.36225918,0,0.7341222127278646
Luthern,1238.0,-9.2375366569,32.7860169492,4.6849757674,23.0210016155,58.6429725363,18.3360258481,3.1834460804,1.5917230402,7.958615201,8.7544767211,463.0,2.6025917927,4.6793760832,7.722007722,7.676185486,54.1524757663,2.279276919,31.4383023317,0.0785957558,1.702908043,0.0,0.0,2.4102698454,0.0261985853,1,0.1829508125007926
Lutry,10348.0,11.2090274046,1223.1678486998,26.5558562041,19.1341321995,57.8662543487,22.9996134519,3.9732532222,2.8103498401,10.2723132086,13.1795716639,4535.0,2.2293274531,0.487804878,10.1141598238,33.5470615325,2.1697545078,16.0632682702,13.2594140777,0.6872365298,12.1417691027,0.1523256226,2.4000141698,17.9673385526,0.1682666761,0,0.6749105947989005
Lutzenberg,1299.0,3.5885167464,577.3333333333,20.246343341,18.8606620477,63.818321786,17.3210161663,7.7579519007,1.5515903801,11.636927851,6.9821567106,556.0,2.321942446,1.0494752624,1.5961691939,46.6898954704,0.0,0.0,48.4320557491,0.0,0.0,0.0,0.0,0.0,0.0,1,0.6224257494952228
Luzein,1591.0,1.661341853,18.9675727229,7.6052796983,20.4274041483,55.7510999371,23.8214959145,1.8909549322,1.2606366215,5.6728647967,10.085092972,668.0,2.3532934132,0.0,4.4500953592,9.4463801781,3.9876113047,8.9818041038,54.587688734,0.0,6.3104916763,11.8079752226,0.0,4.8780487805,0.0,1,0.0871628853044426
Luzern,82257.0,6.1503916584,2826.7010309278,24.407649197,16.2381317092,64.333734515,19.4281337758,5.6237343548,1.8054505087,10.3935394149,9.5640081001,41369.0,1.9255722884,1.1509006118,4.3979803688,12.9405393697,14.1371168634,25.0237192678,14.9762807322,0.6073865483,10.5157586916,0.0,0.0,20.7659482292,0.1083071591,0,0.6671992851899973
Lyss,15525.0,13.1065131867,1046.8644639245,18.962962963,19.0917874396,62.2479871176,18.6602254428,4.6093420327,2.0125296199,10.4521699614,7.4009153764,7080.0,2.1668079096,2.8781621064,12.3597769866,12.0677627362,1.1915984766,18.1030581847,24.0223990347,6.382216524,9.7694106113,11.7387533467,0.7089256759,10.6508541046,2.0636147668,0,0.6691017150878906
