Gemeindename,Einwohner  (2019),Veränderung in %  (2010-2019),Bevölkerungs-dichte pro km²  (2019),Ausländer in %  (2019),0-19 Jahre  (2019),20-64 Jahre  (2019),65 Jahre und mehr  (2019),Rohe Heiratssziffer  (2019),Rohe Scheidungsziffer  (2019),Rohe Geburtenziffer  (2019),Rohe Sterbeziffer  (2019),Anzahl Privathaushalte  (2019),Durchschnittliche Haushaltsgrösse in Personen  (2019),Leerwohnungs-ziffer  (2020),Neu gebaute Wohnungen pro 1000 Einwohner  (2018),FDP  (2019),CVP  (2019),SP  (2019),SVP  (2019),EVP/CSP  (2019),GLP  (2019),BDP  (2019),PdA/Sol.  (2019),GPS  (2019),Kleine Rechtsparteien  (2019),Berggebiet,GHM_Mean_2020
Aadorf,9047.0,11.9124195943,453.7111334002,15.8395048082,20.4045539958,60.3625511219,19.2328948823,5.7509400575,2.4330900243,11.7230701172,6.5251050653,3908.0,2.2945240532,3.1074766355,4.9521665729,11.3982770046,15.4804506296,10.7289595759,37.4155069583,3.4128561962,7.9125248509,2.0808482439,0.0,9.5891318754,1.9814446653,0,0.5550794542932803
Aarau,21773.0,11.6735908088,1764.4246353323,20.9387773848,17.3839158591,64.4146419878,18.2014421531,5.8688971557,2.3105894314,11.2294646364,8.8726634164,10591.0,2.0140685488,1.0144457069,21.9578709799,16.6807037607,5.6606835163,26.4281133373,16.3476769253,3.6231156167,10.8531204846,2.5390398628,0.0,14.6802246965,0.6297375192,0,0.690338846315374
Aarberg,4632.0,13.3072407045,584.1109709962,12.8886010363,19.6243523316,59.0457685665,21.3298791019,4.7516198704,1.9438444924,9.9352051836,8.2073434125,2146.0,2.1300093197,0.6451612903,3.4926871862,9.9195859651,0.9933498428,14.8251203428,33.6681599377,3.817579788,9.8444586661,12.1900998915,0.3032916887,10.2562675645,1.8114026545,0,0.6197278499603271
Aarburg,8376.0,19.6571428571,1899.3197278912,44.1380133715,20.4751671442,65.2220630372,14.3027698185,4.7064502504,3.4996681349,10.6196826163,6.154588789,3735.0,2.2131191432,4.8146364949,2.6028755578,11.3231081955,5.8809941791,20.9646123995,34.902522406,3.0952600942,6.4307493301,2.6425205581,0.0,10.5192645292,1.7231821122,0,0.7144522868411641
Aarwangen,4620.0,10.5263157895,466.6666666667,15.9090909091,20.5411255411,60.1298701299,19.329004329,5.0103474567,1.7427295502,11.327742076,6.5352358131,1962.0,2.2986748216,7.6018099548,20.1595037661,11.6224429059,1.2593590426,13.2890573604,38.6454058457,2.5625763604,9.0598665455,8.6776730052,0.1378402932,9.0066100686,2.0488079947,0,0.5732047080993652
Abtwil,964.0,5.8177826564,232.2891566265,12.6556016598,24.0663900415,64.6265560166,11.3070539419,2.0565552699,2.0565552699,5.1413881748,3.0848329049,377.0,2.5411140584,3.1325301205,0.0,8.388359012,16.5810711665,8.0948887258,44.3140132062,1.0760577158,10.2959158719,3.8151137197,0.0,6.187331866,0.2445585718,0,0.4850815604714786
Aclens,539.0,16.1637931034,138.2051282051,24.3042671614,22.8200371058,63.2653061224,13.9146567718,5.5865921788,3.7243947858,7.4487895717,1.8621973929,217.0,2.4838709677,6.6666666667,0.0,23.5034887991,0.3672420125,21.4469335292,22.0345207492,0.3305178112,9.4748439221,0.1836210062,4.2600073448,16.1586485494,0.734484025,0,0.6950706243515015
Acquarossa,1813.0,-1.5209125475,29.3460666882,12.0794263651,16.6574738003,57.0325427468,26.3099834528,2.7616680475,4.418668876,7.1803369235,11.04667219,840.0,2.1142857143,0.3590664273,3.2432432432,15.6347069787,27.9768067923,13.7295506316,9.8985297163,0.0,0.6419548561,0.0,0.3520397598,10.3126941396,18.4510250569,1,0.1346826275946981
Adelboden,3352.0,-5.921975863,38.2604725488,7.8460620525,19.8687350835,58.2040572792,21.9272076372,4.1530703055,1.4832393948,10.6793236428,12.1625630377,1471.0,2.2433718559,0.6965405154,13.0525066746,4.190968172,0.3693828806,5.2380158862,44.7536521691,5.2741209798,7.4015441871,4.8436371716,0.1638615786,2.8134199856,22.2351830251,1,0.1201011199411992
Adligenswil,5460.0,-0.5645601894,781.1158798283,10.9706959707,21.6666666667,55.0549450549,23.2783882784,2.9490369551,1.6588332873,8.2941664363,6.0823887199,2254.0,2.4059449867,0.2908184462,10.4810031817,16.6595699383,16.7181179476,16.845859059,23.6321055993,0.8409623164,10.4002554822,0.0,0.0,14.5837768789,0.0479029168,0,0.5020276102526434
Adlikon,698.0,20.9705372617,106.0790273556,10.6017191977,21.2034383954,60.0286532951,18.7679083095,7.1174377224,2.846975089,9.9644128114,2.846975089,274.0,2.4854014599,0.3389830508,21.0526315789,9.3611978886,1.3250026931,6.0971668642,56.4580415814,6.7111925024,6.4095658731,3.9103738016,0.0,6.7650544005,2.8977701174,0,0.5680944460247634
Adliswil,18944.0,14.798206278,2438.0952380952,37.7850506757,20.1435810811,61.0747466216,18.7816722973,4.6137936521,1.9621881049,12.3564818498,8.5912019728,8759.0,2.1356319215,0.8651073374,0.9041110461,14.4291637822,8.9773692361,17.6150272269,28.5228983935,3.0631106417,11.1769281825,1.9897372947,0.2276636288,11.0613121704,0.7636366232,0,0.6519556196909102
Aedermannsdorf,579.0,3.024911032,44.8142414861,5.0086355786,20.3799654577,58.5492227979,21.0708117444,1.7406440383,0.0,5.2219321149,5.2219321149,236.0,2.4237288136,0.7462686567,5.2447552448,17.4744897959,39.6683673469,7.6530612245,26.2755102041,0.1913265306,1.8494897959,1.7857142857,0.0,4.2729591837,0.5739795918,1,0.2198406825555819
Aefligen,1096.0,9.0547263682,537.2549019608,8.3941605839,19.6167883212,60.6751824818,19.7080291971,4.5745654163,4.5745654163,5.4894784995,7.3193046661,492.0,2.2093495935,4.9360146252,5.4995417049,4.2974588939,0.7972097658,11.9830592925,45.2416542103,6.4897857499,6.7389138017,11.7090184355,0.0996512207,5.3562531141,3.4130543099,0,0.6622044699532645
Aegerten,2180.0,26.0115606936,1009.2592592593,17.8899082569,19.3577981651,57.7064220183,22.9357798165,3.2265498963,2.3046784973,4.6093569947,11.0624567873,1004.0,2.1474103586,2.9385574354,63.3528265107,9.171832777,1.0411699253,20.7995549197,32.5464949928,3.4414242569,6.9305356859,11.8423144174,0.0794786203,8.7347003656,1.0173263392,0,0.6212228139241537
Aesch (BL),10356.0,1.3406399843,1399.4594594595,25.2993433758,18.269602163,58.5071456161,23.2232522209,5.8914429206,2.0282016612,6.8572532355,7.9196445818,4653.0,2.2035246078,1.4226437463,6.837940803,17.6961914854,12.9152901577,21.7291030356,25.1511562675,1.5894782771,4.1326435205,1.5520787883,0.0,15.1717259864,0.0,0,0.6629705429077148
Aesch (LU),1259.0,29.793814433,273.1019522777,12.7084988086,18.50675139,62.98649722,18.50675139,5.5888223553,1.5968063872,7.1856287425,6.3872255489,547.0,2.2632541133,0.756429652,4.979253112,13.8193421699,30.2160039273,4.5900834561,35.5670103093,2.3073146784,3.3627884143,0.0,0.0,9.0083456063,0.441826215,0,0.5215992798676362
Aesch (ZH),1669.0,61.4119922631,318.5114503817,20.0119832235,21.6297183942,61.0545236669,17.3157579389,5.5831265509,3.1017369727,9.9255583127,6.82382134,717.0,2.3082287308,1.9893899204,30.4154302671,19.4022289767,7.1175278622,9.1337386018,35.5116514691,1.1600810537,13.3434650456,2.0466058764,0.0050658561,7.4924012158,1.2310030395,0,0.5351295471191406
Aeschi (SO),1257.0,7.9896907216,229.3795620438,7.9554494829,16.1495624503,63.4844868735,20.3659506762,5.6657223796,0.8093889114,14.5690004047,6.475111291,570.0,2.1894736842,2.3885350318,0.819000819,14.2342342342,17.3693693694,17.2252252252,28.5045045045,0.2522522523,9.045045045,1.7657657658,0.0,9.4054054054,1.3333333333,0,0.5302556779649522
Aeschi bei Spiez,2244.0,8.8791848617,72.4104549855,5.8823529412,20.1871657754,58.3333333333,21.4795008913,4.9316296794,0.8966599417,7.6216095046,7.1732795337,1008.0,2.193452381,0.8651766402,2.6258205689,4.5383547379,0.6291218327,7.1199236376,44.1686914266,8.5126692121,9.2502603263,6.8031933356,0.2559875043,7.7794168691,5.9788267963,1,0.1379661635597153
Aeugst am Albis,1981.0,8.6074561404,250.4424778761,14.1847551742,19.7879858657,62.1908127208,18.0212014134,7.0653545294,2.0186727227,9.0840272521,6.5606863487,848.0,2.3242924528,5.2915766739,13.9103554869,16.4210448751,2.4979736202,11.5651020559,30.3809593987,3.2274703412,14.3172942303,1.2637241176,0.1621103824,15.0504752782,3.8206469678,0,0.4522848583403088
Affeltrangen,2606.0,11.7016716674,180.595980596,16.0399079048,22.9470452801,61.4735226401,15.5794320798,3.1019775107,1.5509887553,7.7549437767,6.979449399,1049.0,2.4661582459,1.7196904557,3.9032006245,6.5457970332,9.7245114198,6.5457970332,55.0035319049,2.0014127619,5.627501766,4.0970096539,0.0,6.9931716506,3.4612667765,0,0.5126449074206492
Affoltern am Albis,12303.0,10.9277792805,1161.7563739377,28.7003169959,20.1658132163,61.6678858815,18.1663009022,5.5437795532,1.7935757378,12.8811348443,9.2124571988,5412.0,2.2259793052,1.0055478502,3.7872550634,13.3854374655,4.5353414342,14.6452545306,30.3069199612,6.6185559169,12.6666286345,2.0014452241,0.1987183144,12.5905642079,1.5555175233,0,0.6171045303344727
Affoltern im Emmental,1106.0,-3.2370953631,96.090356212,4.068716094,17.2694394213,60.1265822785,22.6039783002,7.2496601722,0.9062075215,7.2496601722,10.8744902583,517.0,2.1121856867,1.8181818182,0.0,4.5288779578,0.373165974,7.4209142566,55.0335001272,5.8604020015,3.1379865999,8.5404121788,0.1356967178,4.2320413875,5.7247052837,0,0.3828603081081224
Agarn,723.0,-8.3650190114,94.5098039216,10.0968188105,15.0760719225,65.6984785615,19.2254495159,6.9396252602,2.7758501041,1.387925052,16.6551006246,304.0,2.3486842105,1.8041237113,1.3106159895,0.9545753785,65.8986175115,7.6695194207,20.9348255431,0.1316655695,0.1316655695,0.0,0.0,3.7524687294,0.0,1,0.1498273970588805
Agiez,355.0,39.7637795276,65.0183150183,18.5915492958,27.0422535211,60.2816901408,12.676056338,14.684287812,0.0,17.6211453744,2.9368575624,144.0,2.4652777778,0.0,15.923566879,24.4408074195,1.0365521004,12.1112929624,29.0234588107,0.0545553737,5.0736497545,0.4364429896,5.8919803601,14.0752864157,1.1456628478,0,0.4836654663085937
Agno,4403.0,10.6003516704,1761.2,32.9320917556,18.6918010447,59.8001362707,21.5080626845,2.26039783,2.712477396,8.1374321881,9.2676311031,2049.0,2.1229868228,2.7495291902,0.6696428571,15.8232196016,18.8916876574,12.4570643462,15.7087245248,0.0,1.774673689,0.0,0.9846576597,8.5413327227,21.5594229448,1,0.7107345993454391
Aigle,10197.0,10.1782820097,621.3893967093,40.2079042856,22.3300970874,60.2137883691,17.4561145435,4.0362276039,2.0673360898,11.9117936602,9.1553455405,4464.0,2.2569444444,2.7658381611,0.987069391,32.2249854165,1.8605507967,18.6454207731,16.3888121335,1.6364250407,5.7658653403,0.3008811519,4.5132172792,14.7032636394,1.5044057597,1,0.5984156408975291
Aire-la-Ville,1169.0,0.9499136442,398.976109215,16.4242942686,25.9195893926,60.3934987169,13.6869118905,2.5499362516,1.6999575011,5.0998725032,3.3999150021,411.0,2.8272506083,0.0,5.9880239521,20.719844358,11.3570038911,9.1926070039,18.4581712062,0.0729571984,5.4717898833,0.9727626459,4.3774319066,20.6955252918,6.420233463,0,0.6902915730195887
Airolo,1481.0,-4.9422336329,15.6968733439,23.9027683997,16.3403106009,56.9209993248,26.7386900743,4.6948356808,3.3534540577,4.0241448692,7.3775989269,722.0,2.0110803324,3.3134526176,0.0,20.8661417323,36.437007874,7.0866141732,11.5354330709,0.0,0.8858267717,0.0,0.2952755906,3.0708661417,17.7952755906,1,0.16651884337816
Alberswil,659.0,14.6086956522,186.1581920904,12.8983308042,19.5751138088,69.3474962064,11.0773899848,3.028009084,1.514004542,10.5980317941,6.0560181681,269.0,2.43866171,7.0287539936,9.1603053435,24.6065057712,40.3987408185,2.4658971668,23.3997901364,0.5771248688,2.203567681,0.0,0.0,5.8761804827,0.1049317943,0,0.5724498296188096
Albinen,240.0,-13.6690647482,15.4241645244,10.8333333333,10.4166666667,52.9166666667,36.6666666667,0.0,0.0,20.9205020921,16.7364016736,122.0,1.9508196721,3.3766233766,0.0,0.3610108303,51.9855595668,9.1456077016,27.3164861613,0.3610108303,0.9626955475,0.0,0.0,9.8676293622,0.0,1,0.1982662819119781
Albula/Alvra,1283.0,-5.8694057227,13.6591078463,14.8869836321,15.4325798909,60.0155884645,24.5518316446,3.8565368299,2.313922098,6.1704589279,13.1122252218,579.0,2.1761658031,1.5475313191,0.0,8.4401709402,29.1132478632,15.2777777778,28.0448717949,0.0,6.6239316239,8.8141025641,0.0,3.6858974359,0.0,1,0.1376407753451289
Alchenstorf,576.0,1.230228471,87.6712328767,4.6875,17.3611111111,59.5486111111,23.0902777778,5.212858384,0.0,3.4752389227,5.212858384,258.0,2.2131782946,1.0714285714,5.1813471503,3.5585260116,1.4270231214,8.9956647399,50.5960982659,2.9082369942,5.1481213873,15.2095375723,0.9393063584,6.1777456647,2.4747109827,0,0.4328438295136897
Allaman,451.0,15.0510204082,173.4615384615,29.933481153,21.9512195122,60.5321507761,17.5166297118,0.0,0.0,11.1982082867,6.718924972,180.0,2.4944444444,1.3824884793,0.0,21.3292117465,0.6697578568,15.6105100464,24.2143225142,0.0515198351,11.7980422463,0.1545595054,1.8031942298,21.6898505925,0.0,0,0.641846681252504
Alle,1902.0,12.8113879004,179.4339622642,11.0410094637,23.1335436383,55.6256572029,21.2407991588,5.3304904051,1.066098081,10.6609808102,6.9296375267,788.0,2.3781725888,2.9933481153,4.9126637555,10.6106870229,46.106870229,15.4198473282,12.1374045802,7.4809160305,0.0,0.0,0.0,8.2442748092,0.0,0,0.5909577287946428
Allmendingen,591.0,14.7572815534,155.1181102362,7.614213198,18.4433164129,52.6226734349,28.9340101523,1.6934801016,0.0,10.1608806097,6.7739204064,249.0,2.3333333333,0.0,1.7271157168,12.9916940918,1.8649114559,10.829023664,33.1296035104,2.2566995769,10.3275348691,12.584234446,0.7992477668,9.4499294781,2.5074439743,0,0.6231463202114763
Allschwil,21090.0,9.1954022989,2372.3284589426,27.4632527264,18.6628733997,58.8525367473,22.484589853,4.5447013989,1.7989443037,11.3617534973,10.6043032641,9952.0,2.0884244373,1.2684796496,1.9605030364,16.9298457088,9.8571600771,25.5665380906,20.018683703,3.3148505304,6.0270009643,1.2445756991,0.0,16.9569672131,0.0,0,0.6900271461123512
Alpnach,6053.0,8.7104885057,112.5511342507,15.29819924,20.6178754337,63.4230959855,15.9590285809,4.9652432969,1.9860973188,11.4200595829,6.1238000662,2541.0,2.3565525384,0.6000705965,2.9880478088,17.0212765957,35.0354609929,2.7895981087,35.8865248227,0.0,0.0,0.0,0.0,0.0,0.0,1,0.1910576655946929
Alpthal,621.0,10.3019538188,27.1416083916,10.305958132,18.1964573269,63.9291465378,17.8743961353,0.0,4.8504446241,3.2336297494,8.0840743735,268.0,2.2947761194,2.0,0.0,10.1679104478,12.0335820896,4.0111940299,69.4029850746,0.0,1.5858208955,0.0,0.0,2.7985074627,0.0,1,0.165102606788676
Altbüron,1012.0,10.480349345,149.9259259259,10.9683794466,20.7509881423,63.5375494071,15.7114624506,5.9494298463,0.9915716411,6.9410014874,6.9410014874,391.0,2.5626598465,2.8953229399,1.9512195122,23.6235595391,34.3149807939,5.0576184379,26.4084507042,0.6402048656,4.6414852753,0.0,0.0,4.7375160051,0.2880921895,0,0.4025103938472164
Altdorf (UR),9537.0,7.628935786,934.0842311459,16.2944322114,19.5239593163,59.7357659641,20.7402747195,5.0691730911,1.3729010455,9.7159150914,8.4486218186,4200.0,2.1892857143,2.0408163265,12.8329558935,0.0,33.9588377724,34.8365617433,28.8740920097,0.0,0.0,0.0,0.0,0.0,0.0,1,0.510846486905726
Altendorf,7059.0,16.9483101392,345.8598726115,21.4194645134,18.3170420739,64.9808754781,16.7020824479,5.0912176496,3.2527223872,10.8895488615,5.9397539245,3047.0,2.281260256,1.4046622833,1.4438348253,21.5087561742,21.6322406825,12.3933542883,36.4728334082,0.4714863044,4.299506062,0.0,0.0,3.2218230804,0.0,1,0.3460286535867831
Altikon,698.0,15.5629139073,90.6493506494,8.5959885387,21.9197707736,58.452722063,19.6275071633,4.2735042735,1.4245014245,8.547008547,2.849002849,302.0,2.3046357616,1.2232415902,11.8343195266,6.4112985166,2.7027027027,9.3883357041,59.2257671205,2.6417394838,6.2385693965,1.493598862,0.0,5.6390977444,3.2615322089,0,0.5268345787411645
Altishofen,1959.0,8.1125827815,136.8016759777,15.6202143951,24.9106687085,62.5829504849,12.5063808065,3.0659172202,1.0219724067,8.175779254,6.6428206438,726.0,2.6432506887,2.7329192547,7.1501532176,12.5041848008,50.46869769,5.6243722799,21.677268162,0.6193505189,2.3100100435,0.0,0.0,6.0763307667,0.4519584868,0,0.4346499092135078
Altnau,2285.0,14.9974836437,339.5245170877,21.4004376368,21.8380743982,61.181619256,16.9803063457,6.1823802164,2.2079929344,11.9231618459,6.6239788033,957.0,2.3772204807,0.4694835681,8.6050724638,12.7116366568,11.5022843322,14.7272238646,31.7119054018,1.7468422467,8.3042192959,1.5049717818,0.0,15.5334587476,2.2574576727,0,0.5112602774020845
Alto Malcantone,1392.0,5.7750759878,63.1006346328,8.9798850575,18.1034482759,59.0517241379,22.8448275862,3.5752592063,5.0053628888,5.0053628888,11.4408294601,624.0,2.2243589744,1.0948905109,0.0,15.5867290136,16.9672678691,17.4571364952,15.2304609218,0.0,1.2692050768,0.0,1.1133377867,15.5421955021,13.8721888221,1,0.2493398532061509
Altstätten,11877.0,9.7790923376,300.9883426254,28.6267575987,20.7459796245,60.899216974,18.3548034015,4.6590427785,2.1177467175,9.4027954257,9.5722151631,5198.0,2.251827626,1.9712392955,1.8183392502,10.2898638062,27.5611666868,9.2292394842,33.7049535977,1.5336868748,5.5110280824,0.2862480415,0.0,9.7173677233,1.1299264795,0,0.4465640028378996
Amden,1823.0,9.5552884615,42.3559479554,10.7515085025,17.1695008228,56.719692814,26.1108063631,9.9805932908,1.6634322151,4.9902966454,7.7626836706,847.0,2.0791027155,1.4988009592,8.9686098655,8.6885000748,23.77747869,4.7854045162,38.8814116943,2.0786600867,6.609839988,0.8075370121,0.0,10.2138477643,2.646926873,1,0.1153643694046741
Amlikon-Bissegg,1341.0,6.2599049128,92.7385892116,10.8128262491,18.5682326622,64.5786726324,16.8530947054,8.1875697804,0.7443245255,11.1648678824,7.4432452549,566.0,2.3498233216,1.2759170654,9.7378277154,6.9658886894,9.407540395,5.9964093357,55.8707360862,1.8671454219,5.8527827648,4.6678635548,0.0,5.7450628366,3.6265709156,0,0.4771342896018567
Ammerswil,722.0,5.8651026393,226.3322884013,13.7119113573,23.6842105263,62.3268698061,13.9889196676,7.0323488045,5.6258790436,9.8452883263,2.8129395218,289.0,2.4844290657,1.5873015873,17.6730486009,10.6298003072,3.8402457757,17.5729646697,41.5360983103,1.5668202765,9.708141321,2.9493087558,0.0,11.0906298003,0.0614439324,0,0.5099383660082547
Amriswil,13816.0,12.8481581312,726.3932702419,32.5130283729,20.6716850029,62.4131441807,16.9151708164,5.5567741464,2.1934634788,10.9673173942,8.4082766689,5984.0,2.2789104278,8.7619617225,11.1424751151,12.6237149607,11.8894068067,12.0107272843,37.7306685397,3.1224059766,6.3789030075,1.5580103442,0.0,10.4654875168,4.2206755635,0,0.5615522112165179
Amsoldingen,795.0,-1.2422360248,168.7898089172,3.5220125786,19.8742138365,57.358490566,22.7672955975,4.9782202862,3.7336652147,8.7118855009,13.6901057872,351.0,2.2393162393,1.7543859649,0.0,4.569998683,0.4872909259,13.5124456736,42.4074805742,3.0027657053,10.6150401686,8.3102857895,0.013170025,10.7994205189,2.6866851047,0,0.422129748618766
Andeer,906.0,4.4982698962,19.5680345572,13.2450331126,19.8675496689,52.7593818985,27.3730684327,6.6152149945,3.3076074972,8.8202866593,16.5380374862,412.0,2.140776699,2.4725274725,0.0,15.9477124183,11.6993464052,15.5555555556,26.4052287582,0.0,7.6470588235,17.3202614379,0.0,5.4248366013,0.0,1,0.0990602421888055
Andelfingen,2247.0,20.8064516129,333.3827893175,13.3511348465,23.4089897641,57.2318647085,19.3591455274,1.792917974,2.689376961,8.96458987,5.378753922,919.0,2.4156692057,0.6896551724,0.0,15.4165261383,2.7352445194,10.6003372681,31.2175379427,5.676222597,14.8735244519,3.9865092749,0.0067453626,11.9089376054,2.3642495784,0,0.5962868430397728
Andermatt,1433.0,9.8926380368,23.0163829104,24.9825540823,13.8869504536,61.9678995115,24.1451500349,5.6677293659,0.7084661707,12.0439249026,10.6269925611,711.0,1.94092827,0.3717472119,96.011816839,0.0,38.3033419023,17.7377892031,40.616966581,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0979129504780524
Andwil (SG),1999.0,6.7841880342,316.7987321712,6.2031015508,26.3131565783,57.3286643322,16.3581790895,4.4854223773,2.9902815848,7.9740842263,6.4789434338,762.0,2.6076115486,0.730816078,1.5376729882,18.3956574186,26.6948130277,9.0952955368,29.3486127865,1.1700844391,7.2496984318,0.3256936068,0.0,6.1519903498,0.6513872135,0,0.454376968682981
Anières,2387.0,2.5784271594,616.7958656331,32.0067029744,24.172601592,58.7767071638,17.0506912442,2.5052192067,3.75782881,11.6910229645,5.8455114823,750.0,2.9306666667,0.6659267481,1.2214983713,36.9497052552,7.4125172457,4.6030352439,15.8785902421,1.2166060454,7.7887871567,1.580333626,5.0671014675,16.5684184121,2.0318575191,0,0.7354231662437564
Anniviers,2717.0,3.8211692778,11.1640711674,18.7338976813,17.8505704821,57.6370997424,24.5123297755,4.037438062,2.2022389429,7.3407964764,11.3782345384,1325.0,2.0430188679,0.7793968146,3.3076074972,19.3262618021,37.3236974006,18.7317869216,11.2483972491,0.6527567316,0.6527567316,0.0,0.0,10.5373586665,0.0,1,0.0975273228649993
Anwil,553.0,-5.3082191781,140.0,6.3291139241,22.061482821,61.3019891501,16.6365280289,0.0,1.7873100983,12.5111706881,5.3619302949,225.0,2.4444444444,0.406504065,3.5149384886,8.9670014347,2.4390243902,11.1190817791,30.1291248207,13.9885222382,7.1736011478,1.1477761836,0.0,25.0358680057,0.0,0,0.3994347205528846
Appenzell,5778.0,1.1554621849,342.2985781991,19.9203876774,18.2242990654,60.9380408446,20.83766009,11.7514905383,2.0737924479,26.4408537112,19.5282122181,2494.0,2.2502004812,2.303070761,6.1972800826,0.0,64.2398286938,9.6895074946,25.6423982869,0.0,0.0,0.0,0.0,0.0,0.0,1,0.3732573581516527
Aranno,376.0,22.0779220779,145.1737451737,11.170212766,21.2765957447,61.170212766,17.5531914894,2.6666666667,0.0,0.0,8.0,156.0,2.4102564103,1.5873015873,0.0,15.5319148936,15.1063829787,16.2765957447,7.2340425532,0.0,1.3829787234,0.0,0.0,24.3617021277,15.2127659574,1,0.3988410711288452
Arbaz,1302.0,20.0,67.7067082683,15.3609831029,17.4347158218,58.1413210445,24.4239631336,3.8729666925,3.098373354,8.5205267235,9.295120062,582.0,2.1958762887,1.3238289206,17.4741858618,10.6882406563,23.0401093892,21.6499544211,17.547857794,0.7292616226,0.8204193254,0.0,0.0,20.0546946217,0.0,1,0.2473150971647981
Arbedo-Castione,5057.0,18.6532144533,236.4188873305,27.5657504449,18.8253905478,62.5074154637,18.6671939885,4.1338582677,1.5748031496,10.0393700787,9.0551181102,2287.0,2.176650634,2.1072796935,16.6699742012,21.6475631348,15.9258223837,19.6067468083,9.5797222999,0.0,1.0716615413,0.0,0.3727518405,11.1173236418,16.9974839251,1,0.2240950154979326
Arboldswil,580.0,12.6213592233,167.1469740634,6.3793103448,20.1724137931,57.2413793103,22.5862068966,5.1813471503,0.0,12.0898100173,5.1813471503,237.0,2.4135021097,0.0,5.3380782918,11.1817026684,3.875476493,13.6594663278,41.1689961881,10.2287166455,3.3036848793,0.9529860229,0.0,15.5654383736,0.0,0,0.3646478485642818
Arbon,14796.0,8.5307709235,2466.0,33.0494728305,19.0524466072,60.6244931062,20.3230602866,4.2135308709,1.9028849094,9.7862652486,9.1066634952,6964.0,2.088454911,2.3721275019,13.5516268831,11.4085239085,17.691008316,17.0348232848,28.7162162162,2.3063929314,6.0420997921,1.6112266112,0.0,13.442047817,1.7476611227,0,0.7856597052680121
Arch,1629.0,6.4010450686,255.329153605,7.3664825046,20.3192142419,58.993247391,20.6875383671,4.9643189575,4.3437790878,9.3080980453,9.3080980453,733.0,2.2032742156,1.9253910951,3.8143674507,6.477093207,0.7062540656,7.0253693895,45.7299507481,2.0908837469,8.5586841372,15.788495493,1.1151379983,7.787380355,1.2731158814,0,0.6170335634790286
Ardon,3293.0,23.0568011958,161.5007356547,31.0051624658,23.0792590343,62.1317947161,14.7889462496,4.6082949309,2.7649769585,8.9093701997,5.222734255,1340.0,2.4141791045,2.6796589525,34.7465731591,16.9283175355,29.1469194313,17.654028436,22.8969194313,0.7849526066,0.6664691943,0.0,0.0,9.922985782,0.0,1,0.2931629953208876
Arisdorf,1653.0,5.8258642766,165.3,10.9497882638,20.6291591047,58.1972171809,21.1736237145,1.2150668287,1.2150668287,7.2904009721,5.467800729,672.0,2.4404761905,0.6944444444,5.5113288426,15.9424544921,5.9307105109,11.5678214915,41.2800939518,4.3159130945,4.3452730476,2.466236054,0.0,14.0046975925,0.0,0,0.5148415022981381
Aristau,1487.0,14.6491904395,172.1064814815,17.1486213853,19.0988567586,67.7202420982,13.1809011432,6.0321715818,2.0107238606,10.7238605898,6.0321715818,629.0,2.3370429253,1.0294117647,0.6963788301,7.537766703,13.8140476561,10.3254944713,42.033951098,2.6008409905,8.8926958418,3.5197009812,0.0,7.8025229715,1.3549291388,0,0.5458800944876163
Arlesheim,9158.0,1.7216483394,1321.5007215007,19.7423018126,19.4693164446,53.2976632453,27.2330203101,3.7184885438,2.2967135123,8.0931809482,10.3898944605,4207.0,2.1323983836,1.3112639725,1.9560965008,23.8980376689,8.7663938468,20.6537816783,13.9828419288,2.3469085889,5.7292180258,0.7740853959,0.0,23.750123262,0.0,0,0.5366923683568051
Arnex-sur-Nyon,230.0,70.3703703704,112.7450980392,23.4782608696,26.5217391304,62.1739130435,11.3043478261,4.3010752688,0.0,4.3010752688,0.0,86.0,2.6744186047,2.1505376344,26.7857142857,30.2978723404,7.914893617,6.8085106383,15.914893617,2.1276595745,15.4893617021,1.0212765957,1.8723404255,15.3191489362,0.085106383,0,0.649719527273467
Arnex-sur-Orbe,632.0,6.7567567568,82.9396325459,11.5506329114,21.5189873418,58.2278481013,20.253164557,3.1695721078,1.5847860539,11.0935023772,6.3391442155,269.0,2.3494423792,1.0067114094,0.0,28.4428892777,1.6745813547,18.2954261435,20.1699575106,0.6248437891,5.7985503624,0.6998250437,6.7983004249,17.12071982,0.0999750062,0,0.5564966837565104
Arni (AG),1868.0,7.4180563542,554.3026706231,13.5974304069,22.1092077088,62.3661670236,15.5246252677,3.2318879612,0.0,8.6183678966,4.8478319418,757.0,2.4504623514,3.5087719298,0.0,15.8601311271,8.6689561869,11.5932979498,31.2207305651,1.4465605162,12.9253824539,3.3822458112,0.0,11.6973670517,0.4787178687,0,0.5777664865766253
Arni (BE),930.0,-1.5873015873,89.1658676894,2.7956989247,21.6129032258,59.6774193548,18.7096774194,1.0764262648,1.0764262648,10.764262648,9.6878363832,404.0,2.2896039604,0.6451612903,0.0,3.0880495925,0.3443921479,4.0179083917,61.7265526346,3.1684077603,6.1187004936,9.8725749053,0.5625071748,6.6697279302,1.3201699001,1,0.298325527415556
